narration,main_category,main_confidence,main_top3,sub_category,sub_confidence,sub_top3,time_taken_sec
Deployment of next-gen firewalls - Splunk,Cybersecurity & Governance,0.3983,"('Cybersecurity & Governance (39.8%) | Integration & Middleware (37.5%) | Cloud & Infrastructure (10.5%)', 0.3983)",Cloud Security,0.3782,Cloud Security (37.8%) | Endpoint Protection (19.9%) | Vulnerability Management (18.0%),1.7038
Staff augmentation for IT service management - Infosys,Managed Services & Support,0.3825,"('Managed Services & Support (38.2%) | Cloud & Infrastructure (26.5%) | Professional Services (15.8%)', 0.3825)",L2/L3 Technical Support,0.3722,L2/L3 Technical Support (37.2%) | Operational Support (30.0%) | Application Managed Services (20.6%),1.6449
Network security appliances and firewall licenses - OpEx recurring,Cloud & Infrastructure,0.3824,"('Cloud & Infrastructure (38.2%) | Software Licensing (22.4%) | Cybersecurity & Governance (11.2%)', 0.3824)",Data Platform & Storage,0.3423,Data Platform & Storage (34.2%) | Hyperconverged Infrastructure (28.7%) | CDN & Edge Services (17.6%),1.747
DevOps toolchain licenses including CI/CD pipelines - Non-production / DR site,Cloud & Infrastructure,0.3786,"('Cloud & Infrastructure (37.9%) | Integration & Middleware (23.3%) | Software Licensing (13.5%)', 0.3786)",Data Platform & Storage,0.2609,Data Platform & Storage (26.1%) | Container & Orchestration (22.8%) | Hyperconverged Infrastructure (22.2%),1.7489
Monitoring and observability tool annual contract - Project code: ENT-IT-INV,Integration & Middleware,0.3728,"('Integration & Middleware (37.3%) | Cybersecurity & Governance (24.9%) | Cloud & Infrastructure (10.3%)', 0.3728)",Integration Platform as a Service,0.3947,Integration Platform as a Service (39.5%) | Messaging & Event Streaming (33.0%) | API Management (27.5%),1.7336
Deployment of endpoint detection (EDR) - Splunk,Cybersecurity & Governance,0.3631,"('Cybersecurity & Governance (36.3%) | Integration & Middleware (32.6%) | Cloud & Infrastructure (18.9%)', 0.3631)",Endpoint Protection,0.486,Endpoint Protection (48.6%) | Cloud Security (25.5%) | Vulnerability Management (10.2%),1.3852
Data transfer and egress charges across regions - Production environment,Cybersecurity & Governance,0.3252,"('Cybersecurity & Governance (32.5%) | Cloud & Infrastructure (27.9%) | Integration & Middleware (22.4%)', 0.3252)",Cloud Security,0.4762,Cloud Security (47.6%) | Code Quality & Security (16.0%) | Endpoint Protection (14.9%),1.6115
Strategic design of Agile transformation - Accenture,Cloud & Infrastructure,0.3155,"('Cloud & Infrastructure (31.6%) | Professional Services (28.7%) | Managed Services & Support (14.2%)', 0.3155)",Data Platform & Storage,0.3213,Data Platform & Storage (32.1%) | Hyperconverged Infrastructure (21.7%) | CDN & Edge Services (18.5%),1.7086
Lease payment for backup generators - JLL,Managed Services & Support,0.2849,"('Managed Services & Support (28.5%) | Cybersecurity & Governance (21.5%) | Professional Services (15.7%)', 0.2849)",Maintenance & Support Fees,0.4031,Maintenance & Support Fees (40.3%) | Operational Support (27.3%) | L2/L3 Technical Support (25.7%),1.6641
Cooling system upgrade for HVAC systems - PG&E,Others,0.2768,"('Others (27.7%) | Professional Services (23.3%) | Cloud & Infrastructure (20.4%)', 0.2768)",Energy Efficiency,0,"N/A (dynamically generated, not a closed-set probability)",8.5054
Consulting for Agile transformation - Wipro,Professional Services,0.2711,"('Professional Services (27.1%) | Integration & Middleware (27.0%) | Managed Services & Support (24.6%)', 0.2711)",Strategic Consulting,0.317,Strategic Consulting (31.7%) | Implementation Services (28.2%) | Development & Integration (22.4%),1.5651
HVAC system servicing and environmental controls - OpEx recurring,Cloud & Infrastructure,0.2689,"('Cloud & Infrastructure (26.9%) | Managed Services & Support (26.2%) | Others (15.6%)', 0.2689)",Hyperconverged Infrastructure,0.3347,Hyperconverged Infrastructure (33.5%) | Data Platform & Storage (25.9%) | CDN & Edge Services (17.2%),1.7404
Compliance scanning and continuous monitoring tools - CapEx allocation,Cloud & Infrastructure,0.2679,"('Cloud & Infrastructure (26.8%) | Cybersecurity & Governance (22.8%) | Integration & Middleware (17.6%)', 0.2679)",Hyperconverged Infrastructure,0.3275,Hyperconverged Infrastructure (32.8%) | Data Platform & Storage (27.4%) | Container & Orchestration (16.0%),1.4575
IT Audit for Agile transformation - KPMG,Cybersecurity & Governance,0.2676,"('Cybersecurity & Governance (26.8%) | Cloud & Infrastructure (21.6%) | Professional Services (20.8%)', 0.2676)",Code Quality & Security,0.4923,Code Quality & Security (49.2%) | Cloud Security (20.0%) | Endpoint Protection (10.5%),1.7113
Enterprise agreement for ERP systems - SAP,Managed Services & Support,0.2594,"('Managed Services & Support (25.9%) | Professional Services (23.0%) | Integration & Middleware (20.4%)', 0.2594)",Application Managed Services,0.364,Application Managed Services (36.4%) | L2/L3 Technical Support (27.6%) | Operational Support (22.5%),1.655
Lease payment for backup generators - Vertiv,Managed Services & Support,0.2403,"('Managed Services & Support (24.0%) | Cybersecurity & Governance (21.1%) | Cloud & Infrastructure (13.2%)', 0.2403)",Maintenance & Support Fees,0.382,Maintenance & Support Fees (38.2%) | Operational Support (27.8%) | L2/L3 Technical Support (25.2%),1.6197
