narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
Rockwell FactoryTalk - MES License - Annual Support - Plant Automation,Software Licensing,Software Licensing (79.7%) | Others (19.5%) | Managed Services & Support (0.4%),Development & DevOps Tools,Development & DevOps Tools (41.8%) | Business Intelligence & Analytics (18.4%) | Collaboration & Productivity (16.1%),1.8264
Adobe Experience Cloud - Experience Manager Sites - Annual License - Marketing - FY25,Software Licensing,Software Licensing (83.4%) | Others (15.6%) | Integration & Middleware (0.5%),Development & DevOps Tools,Development & DevOps Tools (33.7%) | Human Capital Management (22.0%) | Customer Relationship Management (18.4%),1.9042
Adobe Marketo Engage - Select Edition - 50000 Database - Annual - Demand Gen,Others,Others (76.9%) | Managed Services & Support (11.6%) | Integration & Middleware (9.5%),Marketing and Sales,"N/A (dynamically generated, not a closed-set probability)",2.8159
Adobe Analytics - Foundation Pack - 100M Server Calls - Annual Subscription,Others,Others (49.5%) | Software Licensing (40.0%) | Integration & Middleware (4.8%),Cost of Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.7718
Salesforce Marketing Cloud Engagement - Corporate Edition - Annual - 2M Contacts,Others,Others (78.7%) | Integration & Middleware (9.2%) | Managed Services & Support (9.0%),Sales and Marketing Costs,"N/A (dynamically generated, not a closed-set probability)",2.5804
Shopify Plus - Annual Platform Fee + Transaction Fees - E-Commerce Storefront - Dec 2024,Others,Others (62.6%) | Software Licensing (32.8%) | Managed Services & Support (2.1%),Costs related to the,"N/A (dynamically generated, not a closed-set probability)",2.6728
Contentful - Enterprise Content Platform - Annual Subscription - Headless CMS - FY25,Software Licensing,Software Licensing (55.5%) | Others (40.2%) | Integration & Middleware (2.2%),Enterprise Resource Planning,Enterprise Resource Planning (53.9%) | Human Capital Management (17.3%) | Development & DevOps Tools (15.9%),1.8224
Braze - Customer Engagement Platform - MAU Based Pricing - 1.2M MAU - Q4 2024,Others,Others (74.3%) | Software Licensing (12.7%) | Managed Services & Support (8.3%),Marketing and Sales Costs,"N/A (dynamically generated, not a closed-set probability)",2.2861
Optimizely Web Experimentation - Enterprise - Annual Subscription - Digital Product,Software Licensing,Software Licensing (50.9%) | Others (42.8%) | Integration & Middleware (3.3%),Enterprise Resource Planning,Enterprise Resource Planning (87.7%) | Human Capital Management (5.2%) | Development & DevOps Tools (4.6%),1.4237
Klaviyo - Email Marketing - Usage Based - 800K Profiles - Monthly - Dec 2024,Others,Others (86.7%) | Managed Services & Support (7.6%) | Integration & Middleware (4.9%),Costs related to email,"N/A (dynamically generated, not a closed-set probability)",2.2206
Genesys Cloud CX3 - Annual Subscription - 300 Concurrent Agents - Global Contact Center,Others,Others (45.8%) | Software Licensing (45.5%) | Integration & Middleware (4.2%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.5131
Five9 Contact Center - Enterprise Edition - Monthly Minutes - Nov 2024 - Customer Service,Others,Others (81.7%) | Integration & Middleware (6.9%) | Managed Services & Support (6.5%),Cost of customer service,"N/A (dynamically generated, not a closed-set probability)",2.188
Twilio - Programmable SMS & Voice - Usage Charges - Nov 2024 - Notification Services,Others,Others (90.3%) | Managed Services & Support (5.5%) | Integration & Middleware (3.9%),Cost of Programmable SMS and,"N/A (dynamically generated, not a closed-set probability)",2.2663
Intercom - Fin AI & Helpdesk - Annual Subscription - 50 Seats - Product Support,Software Licensing,Software Licensing (64.5%) | Others (30.9%) | Managed Services & Support (2.7%),Development & DevOps Tools,Development & DevOps Tools (31.5%) | Business Intelligence & Analytics (21.3%) | Customer Relationship Management (16.8%),1.7841
Deloitte - SAP S/4HANA Implementation - Professional Services - Milestone 4 - Project Phoenix,Others,Others (82.8%) | Managed Services & Support (7.3%) | Professional Services (5.7%),Cost of implementing a project,"N/A (dynamically generated, not a closed-set probability)",2.3162
Accenture - Salesforce Sales Cloud Implementation - Time & Materials - Nov 2024 - SOW SFDC-2024-112,Others,Others (67.0%) | Managed Services & Support (13.2%) | Integration & Middleware (11.7%),Implementation Costs,"N/A (dynamically generated, not a closed-set probability)",2.5842
KPMG - Workday AMS Support - Monthly Retainer - Dec 2024 - HR Technology Support,Others,Others (77.2%) | Professional Services (14.2%) | Managed Services & Support (7.5%),Cost of Human Resources,"N/A (dynamically generated, not a closed-set probability)",2.241
Infosys - Application Managed Services - Oracle ERP - Monthly - Dec 2024 - L2/L3 Support,Others,Others (87.3%) | Managed Services & Support (11.0%) | Professional Services (1.2%),Costs related to application,"N/A (dynamically generated, not a closed-set probability)",2.2823
Cognizant - MuleSoft Integration Development - T&M - Sprint 22-24 - Project API Modernization,Others,Others (59.5%) | Integration & Middleware (20.6%) | Managed Services & Support (17.3%),Integration development costs,"N/A (dynamically generated, not a closed-set probability)",2.3791
PwC - OneTrust Implementation - Professional Services - GDPR Compliance Project - Phase 1,Others,Others (75.0%) | Professional Services (9.8%) | Managed Services & Support (6.4%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.2119
EY - BlackLine Implementation - Consulting Fees - Milestone 2 - Finance Transformation,Others,Others (78.5%) | Professional Services (12.7%) | Managed Services & Support (4.4%),Cost of Project Management,"N/A (dynamically generated, not a closed-set probability)",2.0957
Wipro - ServiceNow ITSM Implementation - Professional Services - Phase 3 - SOW SNOW-2024-07,Others,Others (80.0%) | Managed Services & Support (11.4%) | Professional Services (6.1%),Cost of services provided,"N/A (dynamically generated, not a closed-set probability)",2.3978
IBM - Maximo EAM Implementation - Consulting Services - Monthly - Asset Management Project,Others,Others (81.9%) | Managed Services & Support (11.4%) | Integration & Middleware (3.9%),Cost of implementing a project,"N/A (dynamically generated, not a closed-set probability)",2.1439
Capgemini - Azure Cloud Migration - Professional Services - T&M - Nov 2024 - Workload Migration,Others,Others (75.2%) | Managed Services & Support (12.4%) | Integration & Middleware (6.0%),Azure Cloud Migration,"N/A (dynamically generated, not a closed-set probability)",2.2612
Cisco Meraki - Enterprise License + Support - Wireless APs & Switches - Annual - Global Sites,Software Licensing,Software Licensing (93.7%) | Others (6.0%) | Professional Services (0.1%),Development & DevOps Tools,Development & DevOps Tools (29.5%) | Business Intelligence & Analytics (20.8%) | Collaboration & Productivity (18.9%),1.5246
Palo Alto Networks - Support & Threat Prevention Subscription - Firewalls PA-5250 - FY25,Software Licensing,Software Licensing (53.3%) | Others (43.0%) | Managed Services & Support (1.7%),Development & DevOps Tools,Development & DevOps Tools (29.1%) | Business Intelligence & Analytics (21.1%) | Customer Relationship Management (20.1%),1.5663
F5 BIG-IP - VE License - Annual Subscription - Application Delivery - Prod DC,Software Licensing,Software Licensing (91.8%) | Others (3.9%) | Integration & Middleware (3.5%),Enterprise Resource Planning,Enterprise Resource Planning (39.7%) | Development & DevOps Tools (19.6%) | Customer Relationship Management (13.1%),1.5276
Cloudflare Enterprise - WAF & DDoS Protection - Annual Plan - Global E-Commerce Domain,Others,Others (85.8%) | Managed Services & Support (8.0%) | Integration & Middleware (4.1%),Cloudflare Enterprise,"N/A (dynamically generated, not a closed-set probability)",2.1469
Akamai CDN & Security - Monthly Usage - Image & Video Manager - Nov 2024,Others,Others (91.2%) | Managed Services & Support (5.8%) | Integration & Middleware (2.9%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.1509
VMware vSphere & vSAN - Subscription - Enterprise Plus - 64 Cores - Annual - DC Virtualization,Software Licensing,Software Licensing (54.6%) | Others (33.8%) | Integration & Middleware (5.0%),Development & DevOps Tools,Development & DevOps Tools (45.4%) | Business Intelligence & Analytics (19.2%) | Customer Relationship Management (10.1%),1.5382
Veeam Data Platform Advanced - Universal License - 100 Workloads - Annual - Backup & Recovery,Software Licensing,Software Licensing (98.3%) | Others (1.4%) | Integration & Middleware (0.2%),Development & DevOps Tools,Development & DevOps Tools (25.5%) | Customer Relationship Management (20.3%) | Human Capital Management (19.3%),1.5442
Rubrik Cloud Data Management - Annual Subscription - Backup & Archival - 500TB,Others,Others (85.6%) | Managed Services & Support (8.0%) | Integration & Middleware (3.1%),Cloud Computing,"N/A (dynamically generated, not a closed-set probability)",2.1574
Nutanix Cloud Platform - Annual Subscription - 100 Cores - Hyperconverged Infrastructure,Others,Others (76.4%) | Managed Services & Support (14.3%) | Integration & Middleware (8.5%),Hardware,"N/A (dynamically generated, not a closed-set probability)",2.1553
Equinix - Colocation & Cross Connect - Monthly Recurring - LD4 DC - Dec 2024,Others,Others (82.4%) | Managed Services & Support (12.4%) | Integration & Middleware (4.8%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.218
Oracle Java SE Subscription - Employee Based - 9000 Employees - Annual - True-up FY25,Others,Others (59.1%) | Software Licensing (24.4%) | Managed Services & Support (10.3%),Oracle Java SE Subscription,"N/A (dynamically generated, not a closed-set probability)",2.1435
Microsoft SQL Server Enterprise - Core Based License - 16 Cores - SA Renewal - FY25,Software Licensing,Software Licensing (91.9%) | Others (7.1%) | Integration & Middleware (0.6%),Enterprise Resource Planning,Enterprise Resource Planning (58.9%) | Development & DevOps Tools (16.8%) | Customer Relationship Management (9.2%),1.5711
Red Hat Enterprise Linux - Standard Support - 200 Instances - Annual - FY25 Renewal,Software Licensing,Software Licensing (56.6%) | Others (40.7%) | Managed Services & Support (1.3%),Development & DevOps Tools,Development & DevOps Tools (34.8%) | Business Intelligence & Analytics (24.4%) | Customer Relationship Management (10.8%),1.5136
Smartsheet Business - Annual Subscription - 300 Users - PMO - FY25,Others,Others (77.4%) | Managed Services & Support (8.5%) | Integration & Middleware (7.8%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.1261
Asana Business - Annual Subscription - 800 Users - Project Management - Global - FY25,Others,Others (61.2%) | Software Licensing (31.9%) | Managed Services & Support (3.1%),Project Management,"N/A (dynamically generated, not a closed-set probability)",2.129
Monday.com Enterprise - Annual Subscription - 500 Users - Work Management - FY25,Others,Others (56.5%) | Software Licensing (38.1%) | Managed Services & Support (2.8%),User Costs,"N/A (dynamically generated, not a closed-set probability)",2.1219
Miro Business - Annual Subscription - 400 Users - Collaboration - Product & Design,Others,Others (61.4%) | Software Licensing (30.7%) | Managed Services & Support (4.1%),User Costs,"N/A (dynamically generated, not a closed-set probability)",2.2419
Lucidchart Enterprise - Annual Subscription - 300 Users - Architecture Team,Others,Others (61.8%) | Software Licensing (15.1%) | Integration & Middleware (10.7%),Cost of Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.1011
Docusign CLM - Contract Lifecycle Management - Annual Subscription - Legal Ops,Software Licensing,Software Licensing (81.2%) | Others (16.8%) | Integration & Middleware (0.8%),Customer Relationship Management,Customer Relationship Management (26.0%) | Development & DevOps Tools (22.8%) | Collaboration & Productivity (16.4%),1.4757
Ironclad - Contract Management Platform - Annual Subscription - Legal - FY25,Software Licensing,Software Licensing (91.5%) | Others (7.2%) | Integration & Middleware (0.6%),Customer Relationship Management,Customer Relationship Management (20.1%) | Development & DevOps Tools (19.9%) | Enterprise Resource Planning (17.9%),1.4767
Coupa - Contract Management Module - Annual Add-on - Procurement,Others,Others (84.3%) | Managed Services & Support (9.1%) | Integration & Middleware (6.5%),Procurement,"N/A (dynamically generated, not a closed-set probability)",2.0914
SAP - Indirect Access - Digital Access - Document Based - True-up - FY24,Others,Others (73.2%) | Managed Services & Support (17.3%) | Integration & Middleware (9.3%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.1089
